epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
107,1296.27,0.93159,1.44127,0.60198,0.91629,0,0.88912,0.96277,0.89805,0.6221,0.89736,0.97169,0.90528,0.63088,0.92996,1.39411,0.74219,0.96464,0,0.0013004,0.0013004,0.0013004
108,1309.49,0.91441,1.44737,0.59829,0.92289,0,0.89175,0.95287,0.89746,0.61858,0.90158,0.96338,0.90735,0.62247,0.94786,1.41866,0.73858,0.97471,0,0.0012938,0.0012938,0.0012938
109,1320.82,0.92276,1.43576,0.60333,0.9276,0,0.89624,0.93471,0.90572,0.63347,0.91104,0.95,0.91509,0.61896,0.93556,1.41134,0.75664,0.97697,0,0.0012872,0.0012872,0.0012872
110,1330.88,0.92335,1.42024,0.59369,0.92097,0,0.88653,0.95297,0.90122,0.62564,0.89316,0.95924,0.90725,0.62819,0.93499,1.37891,0.74211,0.96506,0,0.0012806,0.0012806,0.0012806
111,1341.38,0.89379,1.43036,0.59052,0.92073,0,0.88922,0.95318,0.89683,0.63461,0.90437,0.96943,0.90875,0.62283,0.92204,1.39816,0.75655,0.96159,0,0.001274,0.001274,0.001274
112,1352.23,0.91234,1.42138,0.60176,0.91732,0,0.89442,0.95064,0.89657,0.62288,0.907,0.96401,0.90996,0.62079,0.92441,1.43626,0.76498,0.95801,0,0.0012674,0.0012674,0.0012674
113,1362.19,0.91098,1.41679,0.59413,0.91613,0,0.89351,0.95701,0.89815,0.62902,0.90273,0.96688,0.90505,0.62365,0.89733,1.39521,0.75338,0.95492,0,0.0012608,0.0012608,0.0012608
114,1371.86,0.91112,1.41323,0.58919,0.92558,0,0.89712,0.95806,0.89883,0.6098,0.90687,0.96758,0.90971,0.62695,0.96695,1.38642,0.75401,0.97751,0,0.0012542,0.0012542,0.0012542
115,1381.52,0.91432,1.43523,0.60416,0.92019,0,0.89948,0.95181,0.89891,0.62146,0.91152,0.96455,0.91152,0.62848,0.94255,1.41852,0.74299,0.96756,0,0.0012476,0.0012476,0.0012476
116,1391.6,0.90764,1.4225,0.58334,0.92136,0,0.87955,0.93917,0.9018,0.62881,0.88246,0.94427,0.90506,0.62338,0.93179,1.42037,0.74457,0.96398,0,0.001241,0.001241,0.001241
117,1400.22,0.91761,1.42813,0.60071,0.91929,0,0.88002,0.94833,0.89002,0.59879,0.88681,0.95566,0.89657,0.62021,0.96455,1.42698,0.77769,0.96842,0,0.0012344,0.0012344,0.0012344
118,1408.76,0.91451,1.41804,0.5924,0.91895,0,0.87771,0.95,0.89423,0.61826,0.89026,0.96622,0.9073,0.62974,0.95059,1.41568,0.75505,0.97552,0,0.0012278,0.0012278,0.0012278
119,1417.35,0.9043,1.42,0.57353,0.91442,0,0.87695,0.95064,0.89217,0.62154,0.8884,0.96306,0.90193,0.62697,0.91214,1.37009,0.75798,0.95804,0,0.0012212,0.0012212,0.0012212
120,1426.41,0.9079,1.40036,0.59268,0.91605,0,0.88465,0.95259,0.89661,0.63389,0.89346,0.96178,0.90323,0.62335,0.90745,1.38544,0.74564,0.95567,0,0.0012146,0.0012146,0.0012146
121,1441.18,0.90017,1.41029,0.59282,0.91986,0,0.88645,0.94973,0.89917,0.62026,0.89834,0.96247,0.90827,0.6267,0.95647,1.39733,0.76128,0.97252,0,0.001208,0.001208,0.001208
